oldVals,NewVals,fraction
 CRUST,CRUST,bare
 mid branch,MID - BROWN,mb
AB,GREEN PERENNIAL GRASS,pv
Bare,BARE GROUND,bare
BARE,BARE GROUND,bare
BARE GROUND,BARE GROUND,bare
BLANK,BLANK,blank
blank,BLANK,blank
BROWN BRANCH,BROWN BRANCH,npv
BROWN LEAF BRANCH,BROWN BRANCH,npv
Crust,CRUST,bare
CRUST,CRUST,bare
crust,CRUST,bare
CRUST ,CRUST,bare
CRYPTOGRAM,CRYPTOGRAM,crypt
cryptogram,CRYPTOGRAM,crypt
DEAD ANNUAL FORB / HERB,DEAD ANNUAL FORB / HERB,npv
DEAD ANNUAL GRASS,DEAD ANNUAL GRASS,npv
Dead leaf,DEAD LEAF,npv
dead leaf,DEAD LEAF,npv
DEAD LEAF ANNUAL FORB / HERB,DEAD ANNUAL FORB / HERB,npv
DEAD LEAF ANNUAL GRASS,DEAD ANNUAL GRASS,npv
DEAD LEAF FORB / HERB,DEAD LEAF FORB,npv
DEAD LEAF FORB/ HERB,DEAD LEAF FORB,npv
DEAD LEAF GRASS / FORB,DEAD LEAF,npv
DEAD LEAF PERENNIAL GRASS,DEAD PERENNIAL GRASS,npv
DEAD LEAF SHRUB,DEAD SHRUB,npvs
DEAD PERENNIAL FORB / HERB,DEAD PERENNIAL FORB / HERB,npv
DEAD PERENNIAL GRASS,DEAD PERENNIAL GRASS,npv
DEAD SHRUB,DEAD SHRUB,npvs
disturbed,DISTURBED,bare
GR,GREEN PERENNIAL GRASS,pv
GRAVEL,GRAVEL,bare
Gravel,GRAVEL,bare
GREEN ANNUAL FORB / HERB,GREEN ANNUAL FORB / HERB,pv
GREEN ANNUAL GRASS,GREEN ANNUAL GRASS,pv
green leaf,GREEN LEAF,pv
Green leaf - annual,GREEN ANNUAL GRASS,pv
Green leaf - other,GREEN LEAF,pv
Green leaf - perrenial,GREEN PERENNIAL GRASS,pv
Green leaf - Shrub,GREEN SHRUB,pvs
GREEN LEAF ANNUAL FORB / HERB,GREEN ANNUAL FORB / HERB,pv
GREEN LEAF ANNUAL GRASS,GREEN ANNUAL GRASS,pv
GREEN LEAF FORB / HERB,GREEN LEAF FORB / HERB,pv
GREEN LEAF PERENNIAL FORB / HERB,GREEN PERENNIAL FORB / HERB,pv
GREEN LEAF PERENNIAL GRASS,GREEN PERENNIAL GRASS,pv
GREEN LEAF SHRUB,GREEN SHRUB,pvs
GREEN PERENNIAL FORB / HERB,GREEN PERENNIAL FORB / HERB,pv
GREEN PERENNIAL GRASS,GREEN PERENNIAL GRASS,pv
GREEN SHRUB,GREEN SHRUB,pvs
In crown,OVER - IN CROWN,oic
in crown,OVER - IN CROWN,oic
LITTER,LITTER,npv
Litter,LITTER,npv
litter,LITTER,npv
MID - BROWN,MID - BROWN,mb
MID - BROWN (DOWN),MID - BROWN (DOWN),mbd
MID - DEAD,MID - DEAD,md
MID - DEAD (DOWN),MID - DEAD (DOWN),mdd
MID - GREEN,MID - GREEN,mg
MID - GREEN (DOWN),MID - GREEN (DOWN),mgd
MID - IN CROWN,MID - IN CROWN,mic
MID - IN CROWN (DOWN),MID - IN CROWN (DOWN),micd
Mid Brown,MID - BROWN,mb
Mid Dead,MID - DEAD,md
mid dead leaf,MID - DEAD,md
Mid Green,MID - GREEN,mg
mid green leaf,MID - GREEN,mg
MID IN CROWN,MID - IN CROWN,mic
None,BLANK,blank
OTHER 1,ASH,bare
OVER  - GREEN,OVER - GREEN,og
OVER - BROWN,OVER - BROWN,ob
OVER - BROWN (DOWN),OVER - BROWN (DOWN),obd
OVER - DEAD,OVER - DEAD,od
OVER - DEAD (DOWN),OVER - DEAD (DOWN),odd
OVER - ESTIMATED IN CROWN,OVER - IN CROWN,oic
OVER - GREEN,OVER - GREEN,og
OVER - GREEN (DOWN),OVER - GREEN (DOWN),ogd
OVER - IN CROWN,OVER - IN CROWN,oic
OVER - IN CROWN (DOWN),OVER - IN CROWN (DOWN),oicd
Over brown,OVER - BROWN,ob
Over dead,OVER - DEAD,od
Over green,OVER - GREEN,og
OVER IN CROWN,OVER - IN CROWN,oic
Rock,ROCK,bare
ROCK,ROCK,bare
rock,ROCK,bare
upper branch,OVER - BROWN,ob
upper dead leaf,OVER - DEAD,od
upper green leaf,OVER - GREEN,og
LITTER ,LITTER,npv
BARE GROUND ,BARE GROUND,bare
DEAD LEAF ANNUAL,DEAD ANNUAL GRASS,npv
GREEN LEAF FORB/HERB,GREEN LEAF FORB / HERB,pv
GREEN LEAF FORB / HERB ,GREEN LEAF FORB / HERB,pv
 GREEN LEAF PERENNIAL GRASS,GREEN PERENNIAL GRASS,pv
DEAD LEAF FORB,DEAD LEAF FORB,npv
DEAD LEAEF PERENNIAL GRASS,DEAD PERENNIAL GRASS,npv
GREEN LEAF FORB / HERB ,GREEN LEAF FORB / HERB,pv
DEAD LEAF FORB / HERB ,DEAD LEAF FORB,npv
BAR,BARE GROUND,bare
DEAD LEAF FORB/HERB,DEAD LEAF FORB,npv
GREEN FORB / HERB,GREEN LEAF FORB / HERB,pv
DEAD FORB / HERB,DEAD LEAF FORB,npv
